smiles,1,2,3,4,5,6,7
O=C(O)CCCCN1C(=O)CN=C(c2ccccc2)c2ccccc21,0.0,0.0,0.0,0.0,,,
O=C(O)CCCCN1C(=O)[C@H](CCC(=O)O)N=C(c2ccccc2)c2ccccc21,0.0,0.0,0.0,0.0,,,
COC(=O)CCCCN1C(=O)[C@H](CCC(=O)NC(c2ccccc2)(c2ccccc2)c2ccccc2)N=C(c2ccccc2)c2ccccc21,0.0,0.0,0.0,0.0,,,
COC(=O)CCCCN1C(=O)[C@H](CCCNC(=N)NS(=O)(=O)c2c(C)c(C)c3c(c2C)CC(C)(C)O3)N=C(c2ccccc2)c2ccccc21,0.0,0.0,0.0,0.0,,,
COC(=O)CCCCN1C(=O)[C@H](CC(C)C)N=C(c2ccccc2)c2ccccc21,0.0,0.0,0.0,0.0,,,
O=C(O)CC[C@H]1N=C(c2ccccc2)c2ccccc2NC1=O,0.0,0.0,0.0,0.0,,,
CC(C)(C)SC[C@H]1N=C(c2ccccc2)c2ccccc2N(CCCCC(=O)O)C1=O,0.0,0.0,0.0,0.0,,,
O=C(O)C[C@@H]1N=C(c2ccccc2)c2ccccc2NC1=O,0.0,0.0,0.0,0.0,,,
Cc1c(C)c(S(=O)(=O)NC(=N)NCCC[C@@H]2N=C(c3ccccc3)c3ccccc3N(CCCCC(=O)NO)C2=O)c(C)c2c1OC(C)(C)C2,0.0,0.0,1.0,0.0,,,
O=C(O)CCCCN1C(=O)[C@H](Cc2cncn2C(c2ccccc2)(c2ccccc2)c2ccccc2)N=C(c2ccccc2)c2ccccc21,0.0,0.0,0.0,0.0,,,
CCCCCCC(CCCC(=O)Nc1ccccc1)CCC(=O)NO,0.0,1.0,0.0,,0.0,,
O=C(CC[C@H](CCCC(=O)Nc1ccccc1)Cc1ccccc1)NO,0.0,1.0,0.0,,0.0,,
O=C(CCC(CCCC(=O)Nc1ccccc1)Cc1ccccc1)NO,0.0,1.0,0.0,,0.0,,
CCCCC(CCCC(=O)Nc1ccccc1)CCC(=O)NO,0.0,1.0,0.0,,0.0,,
O=C(CC[C@@H](CCCC(=O)Nc1ccccc1)Cc1ccccc1)NO,0.0,1.0,0.0,,0.0,,
O=C(CCC(CCCC(=O)Nc1ccccc1)c1ccccc1)NO,0.0,1.0,0.0,,0.0,,
CC(C)Cc1nc2cc(CCC(=O)NO)ccc2n1CCCO,0.0,,,0.0,,,
O=C(C[C@@H](CC1CCCC1)C(=O)N1CC2(CC2)C[C@H]1c1nc(-c2ccc(F)cc2C(F)(F)F)no1)NO,0.0,0.0,,,,,
O=C(C[C@@H](CC1CCCC1)C(=O)N1CC2(CC2)C[C@H]1c1nc(-c2ccccc2)no1)NO,0.0,0.0,,,,,
O=C(N[C@@H](CCCCCB(O)O)C(=O)Nc1cccc(-c2ccccc2)c1)c1ccccc1,0.0,1.0,,0.0,1.0,,
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,0.0,0.0,,,0.0,,
CC(Cc1ccc(NS(=O)(=O)c2ccccc2)cc1)C(=O)NO,0.0,,,,,,
CC(C)C(Cc1ccc(NS(=O)(=O)c2ccccc2)cc1)C(=O)NO,0.0,,,,,,
CCOc1cc(NC(=O)CCCCCNC(=O)CCCc2ccccc2)cc2c1OCC([N+](=O)[O-])=C2,0.0,0.0,,,0.0,,
O=C(NO)C(c1ccccc1)c1ccccc1,0.0,0.0,0.0,0.0,0.0,,
COC(=O)c1coc(-c2ccccc2O)n1,0.0,,0.0,0.0,0.0,,
O=C(NC(=S)NCc1ccccc1)c1ccccc1,0.0,,,,,,
O=C(NC(=S)Nc1ccccc1)c1ccccc1F,0.0,,,,,,
O=C(NC(=S)NC1CCCCC1)c1ccccc1,0.0,,,,,,
CCOc1cc(NC(=O)CCCCCNC(=O)Cc2ccccc2)cc2c1OCC([N+](=O)[O-])=C2,0.0,1.0,,,0.0,,
O=C(NC(=S)NCc1ccc(F)cc1)c1ccccc1,0.0,,,,,,
CCOc1cc(NC(=O)CCCCC(=O)NCCc2ccccc2)cc2c1OCC([N+](=O)[O-])=C2,0.0,1.0,,,0.0,,
O=C(NC(=S)Nc1ccccc1)c1ccccc1,0.0,0.0,0.0,,0.0,,
O=C(NO)c1ccc(NC(=S)N/N=C/c2ccc(F)cc2)cc1,0.0,0.0,,0.0,,,
CCOc1cc(NC(=O)CCCCCC(=O)NCCc2ccccc2)cc2c1OCC([N+](=O)[O-])=C2,0.0,0.0,,,0.0,,
COc1cccc(CCCCCCCC(=O)O)c1,0.0,0.0,,,,,
O=C(/C=C1\NC(=O)c2ccccc21)NCCCCCCC(=O)NO,0.0,,,,,,
Nc1cc(F)ccc1NC(=O)c1ccc(N2CCN(C(=O)/C=C/c3cccnc3)CC2)cc1,0.0,,,,,,
O=C(NO)c1ccc(NC(=S)N/N=C/c2ccccc2)cc1,0.0,0.0,,0.0,,,
CCOc1cc(NC(=O)CCCCCCC(=O)NCCc2ccccc2)cc2c1OCC([N+](=O)[O-])=C2,0.0,0.0,,,0.0,,
O=C(CNC(=O)c1coc(-c2ccccc2O)n1)Nc1ccccc1,0.0,,0.0,0.0,0.0,,
O=C(NCCCCNC(=O)C(c1ccccc1)c1ccccc1)c1coc(-c2ccccc2O)n1,0.0,0.0,0.0,0.0,0.0,,
COc1ccc(N(Cc2nc(-c3ccc(C)cc3)no2)C(=O)CCCCCCC(=O)NO)cc1,0.0,,,,,,
O=C(NCCCCNCCC(c1ccccc1)c1ccccc1)c1coc(-c2ccccc2O)n1,0.0,0.0,0.0,0.0,0.0,,
O=C(O)c1coc(-c2ccccc2O)n1,0.0,,0.0,0.0,,,
COc1ccc(-c2noc(CN(C(=O)CCCCCCC(=O)NO)c3ccc(OC)cc3)n2)cc1,0.0,,,,,,
O=C(NCCCCN1C(=O)c2ccccc2C1=O)c1coc(-c2ccccc2O)n1,0.0,0.0,0.0,0.0,0.0,,
O=C(NCCC(c1ccccc1)c1ccccc1)c1coc(-c2ccccc2O)n1,0.0,0.0,0.0,0.0,0.0,,
O=C(NO)c1csc(-c2cccnc2)n1,0.0,1.0,,,,,
CN(C)c1cccc(C(=O)NO)c1,0.0,,,1.0,,,
CC[C@@H]1NC(=O)[C@H](CCCCNC(C)=O)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,0.0,,,,,,
O=C(NCC1CCCCC1)c1cc(C(=O)C(F)(F)F)cs1,0.0,1.0,,,,,
COc1ccc(N(Cc2nc(-c3ccccc3)no2)C(=O)CCCCCCC(=O)NO)cc1,0.0,,,,,,
O=C(NO)c1cccc(NCc2ccccc2)c1,0.0,,,1.0,,,
O=C(NCCc1c[nH]c2ccccc12)c1coc(-c2ccccc2O)n1,0.0,0.0,0.0,0.0,0.0,,
O=C(NCCCCNC(=S)NCCC(c1ccccc1)c1ccccc1)c1coc(-c2ccccc2O)n1,0.0,,0.0,0.0,0.0,,
O=C(NCC(c1ccccc1)c1ccccc1)c1coc(-c2ccccc2O)n1,0.0,0.0,0.0,0.0,0.0,,
CN(Cc1ccccc1)C(=O)c1cnc(C(=O)C(F)(F)F)s1,0.0,1.0,1.0,,,,
O=C(Nc1ccccc1)c1ccc(CNC(=O)c2coc(-c3ccccc3O)n2)cc1,0.0,0.0,0.0,0.0,0.0,,
O=C(NCc1cccc2ccccc12)c1coc(-c2ccccc2O)n1,0.0,0.0,0.0,0.0,0.0,,
CCOC(=O)c1ccc(C(=O)C(F)(F)F)o1,0.0,1.0,,,,,
Cc1ccc(C(=O)NO)cc1NC1CCCCC1,0.0,,,1.0,,,
O=C(/C=C1\NC(=O)c2ccccc21)NCc1ccc(C(=O)NO)cc1,0.0,,,,,,
CCCCCCC(/C=C/C(=O)OCC)OO,0.0,,,,,,
O=C(O)CCCCCCCCC(=O)O,0.0,,,,,,
O=C(O)CCCCCCCCCO,0.0,,,,,,
O=C(O)/C=C\CCCCCCCO,0.0,,,,,,
COc1ccc(N(Cc2nc(-c3ccccc3)no2)C(=O)CCCCCC(=O)NO)cc1,0.0,,,,,,
C=C(c1ccc(OC)c(/C=C/C(=O)NO)c1)c1cc(OC)c(OC)c(OC)c1,0.0,0.0,0.0,1.0,0.0,,
CN(Cc1ccc(C(=O)Nc2ccccc2N)cc1)Cc1ccc(-c2cccs2)cc1,0.0,,,,,,
CCCCn1nc(-c2ccc(F)cc2)cc1C(=O)NCCCCCCS,0.0,0.0,,,,,
Cc1c(-c2ccc(F)cc2)nn(C)c1C(=O)NCCCCCCS,0.0,0.0,,,,,
O=C(NCCS)c1cc(-c2ccc(F)cc2)on1,0.0,1.0,,,,,
O=C(CCCCCCc1nc(-c2ccc([N+](=O)[O-])cc2)no1)C(F)(F)F,0.0,,,1.0,1.0,,
CCC(C)n1nc(C(=O)NCCCCCCS)cc1-c1ccc(F)cc1,0.0,0.0,,,,,
CN(C)c1ccc(C(=O)N/N=C/c2cccc(C(=O)NO)c2)cc1,0.0,1.0,,1.0,0.0,,
CN(/N=C/c1cccc(C(=O)NO)c1)C(=O)c1ccc(N(C)C)cc1,0.0,1.0,,1.0,0.0,,
COc1ccccc1-c1ccc(C(=O)C(F)(F)F)s1,0.0,1.0,,,,,
COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCC(=O)NO,0.0,1.0,0.0,1.0,1.0,,
O=C(CCS)NCCNC(=O)c1cc(-c2ccc(F)cc2)[nH]n1,0.0,0.0,,,,,
CC(C)n1nc(C(=O)NCCCCCCS)cc1-c1ccc(F)cc1,0.0,0.0,,,,,
CC(C)(C)OC(=O)N[C@@H](CCCCCO)C(=O)NC1CCCC1,0.0,1.0,,,,,
O=C(CCCNC(=O)NC(=O)c1ccccc1)NO,0.0,,,0.0,,,
COc1cccc(-c2ccc(C(=O)C(F)(F)F)s2)c1,0.0,1.0,,,,,
CCCCCCc1nc2cc(/C=C/C(=O)NO)ccn2c1NCCC(=O)N(C)CC#N,0.0,,,,,,
O=C(c1ccc(-c2ccc3[nH]ccc3c2)s1)C(F)(F)F,0.0,,,,,,
CC(C)(C(=O)Nc1ccc(C(=O)Nc2ccc(F)cc2N)cc1)c1ccccc1,0.0,,,,0.0,,
Cc1c(-c2ccc(F)cc2)nn(CCCO)c1C(=O)NCCCCCCS,0.0,1.0,,,,,
O=C(NCCCCS)c1cc(-c2ccc(F)cc2)on1,0.0,1.0,,,,,
CCn1nc(-c2ccc(F)cc2)cc1C(=O)NCCCCCCS,0.0,1.0,,,,,
CCn1nc(C(=O)NCCCCCCS)cc1-c1ccc(F)cc1,0.0,0.0,,,,,
O=C(c1ccc(-c2ccc3c(c2)OCCO3)s1)C(F)(F)F,0.0,1.0,,,,,
CC(=O)c1ccc(-c2ccc(C(=O)C(F)(F)F)s2)cc1,0.0,1.0,,,,,
Cc1ccc(-c2noc(CCCCCCC(=O)C(F)(F)F)n2)cc1,0.0,,,1.0,1.0,,
O=C(CCCCCCc1nc(-c2ccc(Cl)cc2)no1)C(F)(F)F,0.0,,,1.0,1.0,,
O=C(NCCCS)c1cc(-c2ccc(F)cc2)on1,0.0,1.0,,,,,
O=C(NO)c1ccc(CNCc2nc(-c3cccs3)no2)cc1,0.0,,,1.0,0.0,,
CC(C)C[C@H]1CC(=O)N[C@@H](C)C(=O)N[C@@H](CSCC(=O)O)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N1,0.0,0.0,0.0,1.0,,,
O=C(CCS)NCCCNC(=O)c1cc(-c2ccc(F)cc2)[nH]n1,0.0,0.0,,,,,
O=C(CCS)NCCCCNC(=O)c1cc(-c2ccc(F)cc2)[nH]n1,0.0,0.0,,,,,
CC(C)(C)NCc1c(-c2ccccc2)nc2cc(C(=O)NO)ccn12,0.0,,,,,,
CC(C)[C@@H](C(=O)Nc1ccc(C(=O)Nc2ccc(F)cc2N)cn1)c1ccccc1,0.0,,,,1.0,,
O=C(CCCCCCC(=O)Nc1ccccc1)NOCc1ccccc1,0.0,0.0,0.0,0.0,0.0,,
Cn1nc(C(=O)NCCCCCCS)cc1-c1ccc(F)cc1,0.0,1.0,,,,,
CCCn1nc(C(=O)NCCCCCCS)cc1-c1ccc(F)cc1,0.0,0.0,,,,,
CCC(=O)CCSC[C@@H]1NC(=O)[C@H](C)NC(=O)C[C@H](CC(C)C)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O,0.0,0.0,0.0,0.0,,,
COc1ccc2c(C(=O)c3cc(OC)c(OC)c(OC)c3)cn(S(=O)(=O)c3ccc(/C=C/C(=O)NO)cc3)c2c1,0.0,0.0,,,0.0,,
CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(=O)NCCCCCCC(=O)Nc2ccccc2N)c(F)c1,0.0,0.0,1.0,,1.0,,
O=C(NO)c1ccc(NC(=O)C2(c3csc(-c4cccc(Oc5ccccc5)c4)n3)CCCC2)cc1,0.0,,,,,,
O=C(NCCCCCCS)c1cc(-c2ccc(F)cc2)n(Cc2ccccc2)n1,0.0,0.0,,,,,
CCCCNCc1c(-c2ccccc2)nc2ccc(/C=C/C(=O)NO)cn12,0.0,,,,,,
O=C(/C=C/c1ccn2c(CNCC(F)(F)F)c(-c3ccccc3)nc2c1)NO,0.0,,,,,,
Cn1nc(-c2ccc(F)cc2)cc1C(=O)NCCCCCCS,0.0,1.0,,,,,
CC(C)(C)Nc1c(C(=O)O)nc2ccc(/C=C/C(=O)NO)cn12,0.0,,,,,,
O=C(c1ccc(-c2ncc(-c3ccccc3)s2)s1)C(F)(F)F,0.0,1.0,,,,,
O=C(c1ccc(-c2nc(-c3ccc(C(F)(F)F)cc3)no2)s1)C(F)(F)F,0.0,0.0,,,,,
CC1(C)c2cccc(C(N)=O)c2CN1c1cnc(C(F)(F)F)cn1,0.0,0.0,0.0,0.0,0.0,,
CC1(C)c2cccc(C(=O)NO)c2CN1c1cnc(C(F)(F)F)cn1,0.0,0.0,0.0,1.0,0.0,,
O=C(CS)NCCCCNC(=O)c1cc(-c2ccc(F)cc2)[nH]n1,0.0,1.0,,,,,
O=C(c1cc(-c2ccccc2)cs1)C(F)(F)F,0.0,1.0,,,,,
O=C(c1ccc(-c2nc(-c3ccncc3)no2)s1)C(F)(F)F,0.0,1.0,,,,,
O=C(NO)c1ccc(NCc2csc3ccc(Br)cc23)cc1,0.0,1.0,0.0,1.0,,,
Nc1cc(F)ccc1NC(=O)c1ccc(NC(=O)C2CC2c2ccccc2)cc1,0.0,,,,0.0,,
Nc1cc(F)ccc1NC(=O)c1ccc(NC(=O)Cc2ccc(C(F)(F)F)cc2)cn1,0.0,,,,0.0,,
CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(=O)NCCCCCCn2cccc(O)c2=S)c(F)c1,0.0,0.0,0.0,,1.0,,
CCN(CC)Cc1c(-c2ccccc2)nc2cc(C(=O)NO)ccn12,0.0,,,,,,
COCCNc1c(CC(C)CC(C)(C)C)nc2c(/C=C/C(=O)NO)cccn12,0.0,,,,,,
O=C(CCCCCCc1nc(-c2ccc(F)cc2)no1)C(F)(F)F,0.0,,,1.0,0.0,,
NC(=O)C1CCCc2c(-c3ccc(Cl)c(Cl)c3)n[nH]c21,0.0,0.0,,0.0,0.0,0.0,1.0
COC(=O)CCCCCCOc1ccc(Nc2nccc(-c3ccc(NC(C)=O)cc3)n2)cc1,0.0,1.0,,,,,
CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(=O)NCCCCCCc2ccc(C(=O)C(F)(F)F)s2)c(F)c1,0.0,0.0,0.0,,0.0,,
O=C(NCCCCCCS)c1cc(-c2ccc(F)cc2)nn1Cc1ccccc1,0.0,0.0,,,,,
CC(C)(C)NCc1c(-c2ccccc2)nc2ccc(/C=C/C(=O)NO)cn12,0.0,,,,,,
Cc1c(-c2ccc(F)cc2)n[nH]c1C(=O)NCCCCCCS,0.0,1.0,,,,,
CC(C)n1nc(-c2ccc(F)cc2)cc1C(=O)NCCCCCCS,0.0,1.0,,,,,
CCC(C)n1nc(-c2ccc(F)cc2)cc1C(=O)NCCCCCCS,0.0,0.0,,,,,
CCCCn1nc(C(=O)NCCCCCCS)cc1-c1ccc(F)cc1,0.0,0.0,,,,,
