smiles,1,2,3
Cc1ccc(C(=O)NCC(=O)O)s1,0.0,,
Cc1cc(=O)oc2cc(O)ccc12,0.0,,
C[C@@H]1O[C@@H](O[C@H](C)CCCC/C=C/C(=O)O)[C@H](O)C[C@H]1O,0.0,,
Nc1ccccc1SSc1ccccc1N,0.0,,
O=C(C1CC(=O)N(C2CCCC2)C1)N1CCC(Cc2ccccc2)CC1,0.0,,
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC(CO)CO,0.0,,
C=CCSSSCC=C,0.0,,
N[C@H](C(=O)O)[C@H](O)C(=O)O,0.0,,
Cc1ccc2c(c1)C(=O)[C@]1(O)CCN(c3ccccc3)C1=N2,0.0,,
C[As](C)(=O)O,0.0,,
c1cc(SSc2ccncc2)ccn1,0.0,,
OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O,0.0,,
COC(=O)C1=CO[C@@H](C)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,0.0,,
Oc1c(Br)c(Br)c(Br)c(Br)c1Br,0.0,,
OCc1cccnc1,0.0,,
CN(C)c1ccc2c(-c3ccccc3)c3ccc(N(C)C)cc3[o+]c2c1,0.0,,
N[C@@H](Cc1cc(I)c(O)c(I)c1)C(=O)O,0.0,,
NNC(=O)c1ccc(O)cc1,0.0,,
CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,0.0,,
COc1cc(C2C=C(c3cccs3)Nc3ncnn32)cc(OC)c1OC,0.0,,
CC(=O)/C(C)=N/O,0.0,,
O=Nc1ccc2oc(=O)ccc2c1,0.0,,
O=C(O)COc1cccc(-c2ocnc2-c2nc(-c3ccccc3)c(-c3ccccc3)o2)c1,0.0,,
NCC(CP(=O)(O)O)c1ccc(Cl)cc1,0.0,,
Br.CCSC(=N)N,0.0,,
Br.Br.N=C(N)SCCN,0.0,,
O=C(c1cc(O)c(O)c([N+](=O)[O-])c1)c1ccccc1F,0.0,,
CNc1ccc2oc(C[C@H]3O[C@@]4(CC[C@H]3C)O[C@H]([C@H](C)C(=O)c3ccc[nH]3)[C@H](C)C[C@H]4C)nc2c1C(=O)O,0.0,,
CC(C)(CO)Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0.0,,
COc1ccc2c(c1OC)C(=O)OC2C1c2cc3c(cc2CCN1C)OCO3,0.0,,
CC(COc1ccc(/C=C/c2ccccc2)cc1)[N+](C)(C)C,0.0,,
COc1cc2c(cc1OC)-c1c/c(=N\c3c(C)cc(C)cc3C)n(C)c(=O)n1CC2.Cl,0.0,,
CC(COc1ccc(/C=C/c2ccccc2)cc1)[N+](C)(C)C.[I-],0.0,,
NC(=O)c1ccc(OCC(O)CN2CC=C(c3ccc(F)cc3)CC2)cc1,0.0,,
CN1[C@H]2CC[C@@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2.CS(=O)(=O)O,0.0,,
COc1ccc(-c2ccc3c(N)c(C(=O)NCc4ccc(Cl)cc4)sc3n2)cc1,0.0,,
CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,0.0,,
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,0.0,,
CCCCc1cc2ccccc2c(OCCN(C)C)n1,0.0,,
N[C@H](C(=O)O)c1ccc(O)c(C(=O)O)c1,0.0,,
Clc1cc(Cl)c(OCC#CI)cc1Cl,0.0,,
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1,0.0,,
CSc1ccc(C2C(C#N)=C(N)Oc3c2ccc(=O)c2c(C)oc(C)c32)cc1,0.0,,
N#CNC(=Nc1cccc(C(F)(F)F)c1)SCc1ccc(C(=O)O)cc1,0.0,,
CCOc1ccc(CCNC(=O)CSc2cc(=O)n(C)c3ccc(Cl)cc23)cc1OCC,0.0,,
CN1C(=O)C(CCC(=O)O)NC1=S,0.0,,
Cc1nn(C)c(Cl)c1CN1CCCC(CCC(=O)NCc2ccccc2F)C1,0.0,,
COc1ccc2cc(CCNC(=O)c3c(-c4ccccc4Cl)noc3C)c(O)nc2c1,0.0,,
O=C(Nc1nc(-c2ccco2)c(-c2ccco2)s1)c1ccc([N+](=O)[O-])o1,0.0,,
CC(=O)c1ccc(NC(=O)C(=O)c2cn(CC(=O)N3CCCCC3)c3ccccc23)cc1,0.0,,
CCOC(=O)c1nn(-c2ccc(OCC)cc2)c2nc(-c3cccc(OC)c3)c(C#N)c(=O)n12,0.0,,
Cc1ccc(CNC(=O)COC(=O)c2ccc(Cl)c(N)c2)cc1,0.0,,
CC(C)C(CCNC(=O)CC(Cc1ccccc1)c1ccco1)c1ccco1,0.0,,
COc1ccc(CCNC(=O)COC(=O)c2cc(S(=O)(=O)NCc3ccccc3)ccc2O)cc1OC,0.0,,
Cc1ccc(OCC(=O)Nc2nnc(S(=O)(=O)N3CCC(C)CC3)s2)cc1,0.0,,
CC1CCN(C(=O)CN(c2cccc(F)c2)S(C)(=O)=O)CC1,0.0,,
Cc1ccc(-c2cc(C(=O)O)c3ccccc3n2)s1,0.0,,
CCC(CO)Nc1nc(CN2CCCCC2)nc2scc(-c3ccccc3)c12,0.0,,
COc1ccc(NC(=O)c2ccc3c(SCC(=O)O)c4c(nc3c2)CCCC4)c(OC)c1,0.0,,
O=S(=O)(c1ccc(Br)cc1)c1nc(-c2ccccc2)oc1NCc1cccnc1,0.0,,
Cc1cccc2cc3c(NC(=O)C(C)(C)C)nn(CC(C)C)c3nc12,0.0,,
COc1cc2nc(/C=C/c3cc(OC)c(OC)c(OC)c3)sc2cc1SC,0.0,,
COc1cc(CN/C(C)=C2/C(=O)NC(=O)N(C3CCCCC3)C2=O)cc(OC)c1,0.0,,
